image_path,hog_pc1,hog_pc2,clip_pc1,clip_pc2,hog_cluster,clip_cluster,hog_name,surface_effect,clip_name,surface_type
..\data\images_resized\img_0.jpg,-2.738848402413643,-1.5494314876218784,0.22229393,-0.10164084,3,1,high-contrast edges,sharp displacement,monolithic concrete mass,monolithic surface
..\data\images_resized\img_1.jpg,-4.860983071659287,0.7808259287060436,-0.057358176,-0.20127302,2,2,repetitive grid,modular repetition,facade repetition,grid surface
..\data\images_resized\img_10.jpg,-2.7504379939165093,2.0429928386668563,-0.07544003,-0.21104929,2,2,repetitive grid,modular repetition,facade repetition,grid surface
..\data\images_resized\img_11.jpg,1.7607066122347164,0.11417196221347345,0.21696396,0.24923143,1,0,directional perspective,directional stretch,complex urban brutalism,layered surface
..\data\images_resized\img_12.jpg,0.6742776301590467,-2.8857690140323364,-0.0851494,-0.037089873,1,2,directional perspective,directional stretch,facade repetition,grid surface
..\data\images_resized\img_13.jpg,1.2584771078797443,0.32893546191272527,-0.0005055564,-0.16592504,0,2,multi-directional structure,multi-directional noise,facade repetition,grid surface
..\data\images_resized\img_14.jpg,-2.075165062155794,-1.1949724745983845,0.14258768,-0.28594583,3,1,high-contrast edges,sharp displacement,monolithic concrete mass,monolithic surface
..\data\images_resized\img_15.jpg,-1.3502144294097038,2.730839950693344,-0.13584805,-0.0886072,3,2,high-contrast edges,sharp displacement,facade repetition,grid surface
..\data\images_resized\img_16.jpg,1.5691444863442694,-0.5563123536065668,-0.21927163,0.060807604,1,2,directional perspective,directional stretch,facade repetition,grid surface
..\data\images_resized\img_17.jpg,-2.157184345101339,-2.5245202688396406,-0.24715334,-0.113038,2,2,repetitive grid,modular repetition,facade repetition,grid surface
..\data\images_resized\img_18.jpg,0.5157167489205098,-0.008638823553887781,-0.31251442,0.0808876,1,2,directional perspective,directional stretch,facade repetition,grid surface
..\data\images_resized\img_19.jpg,-0.15800791660951716,0.3001815171404252,0.2808195,-0.10008408,2,1,repetitive grid,modular repetition,monolithic concrete mass,monolithic surface
..\data\images_resized\img_2.jpg,3.848692010701276,-0.3971737038205417,0.016625712,0.23200142,1,0,directional perspective,directional stretch,complex urban brutalism,layered surface
..\data\images_resized\img_20.jpg,3.3276907570459904,3.5862170953999697,0.15217087,0.31993073,0,0,multi-directional structure,multi-directional noise,complex urban brutalism,layered surface
..\data\images_resized\img_21.jpg,-0.9620896310698244,-2.2001583127473103,0.12929699,0.22821037,2,0,repetitive grid,modular repetition,complex urban brutalism,layered surface
..\data\images_resized\img_22.jpg,0.9605845010572222,0.5173312803973766,-0.18798858,-0.0066978447,1,3,directional perspective,directional stretch,open structural frame,skeletal/open surface
..\data\images_resized\img_23.jpg,1.7106987751980327,-0.6914360913274077,0.13326442,0.06562627,1,1,directional perspective,directional stretch,monolithic concrete mass,monolithic surface
..\data\images_resized\img_24.jpg,4.013876248397619,1.3929428374429385,-0.13315238,-0.12447061,0,2,multi-directional structure,multi-directional noise,facade repetition,grid surface
..\data\images_resized\img_25.jpg,-6.12868748842406,2.7155953319879336,0.0831433,-2.9208055e-05,2,0,repetitive grid,modular repetition,complex urban brutalism,layered surface
..\data\images_resized\img_26.jpg,-0.3522684412455248,-3.070836591454267,-0.054734543,-0.15041998,1,2,directional perspective,directional stretch,facade repetition,grid surface
..\data\images_resized\img_27.jpg,-0.18507835209706697,1.1635318791007963,-0.1348349,0.06694568,0,3,multi-directional structure,multi-directional noise,open structural frame,skeletal/open surface
..\data\images_resized\img_28.jpg,-1.5105382388986666,-0.844804531581881,-0.27145255,0.14539954,1,2,directional perspective,directional stretch,facade repetition,grid surface
..\data\images_resized\img_29.jpg,0.6273147116941414,-1.996999493599119,0.04100162,-0.09084806,1,3,directional perspective,directional stretch,open structural frame,skeletal/open surface
..\data\images_resized\img_3.jpg,0.5875700885283465,0.348297726927011,-0.29001972,0.034461293,1,3,directional perspective,directional stretch,open structural frame,skeletal/open surface
..\data\images_resized\img_30.jpg,5.920873470547268,1.1082798712269002,-0.14425239,-0.122442976,0,2,multi-directional structure,multi-directional noise,facade repetition,grid surface
..\data\images_resized\img_31.jpg,-3.730665553752553,-2.514862605436561,-0.027525194,-0.1307542,2,2,repetitive grid,modular repetition,facade repetition,grid surface
..\data\images_resized\img_32.jpg,-5.54210470539368,-0.8030105595237137,0.028984478,0.1829894,2,0,repetitive grid,modular repetition,complex urban brutalism,layered surface
..\data\images_resized\img_33.jpg,-3.0477968408217784,2.6120621662721257,-0.12397792,-0.0050298064,2,2,repetitive grid,modular repetition,facade repetition,grid surface
..\data\images_resized\img_34.jpg,3.2072915952596417,-0.965057209090488,-0.28155956,0.2541464,1,3,directional perspective,directional stretch,open structural frame,skeletal/open surface
..\data\images_resized\img_35.jpg,0.7708523045300715,0.02717622860403731,0.096323654,0.09240647,1,0,directional perspective,directional stretch,complex urban brutalism,layered surface
