unit_id,city_group,text,clean_text,keywords,city_type
1,Cities & Memory 1,"]

Leaving there and proceeding for three days towards the east, you reach Diomira, a city with sixty silver domes, bronze statues of all the gods, streets paved with lead, a crystal theatre, a golden cock that crows each morning on a tower. All these beauties will already be familiar to the visitor, who has seen them also in other cities. But the special quality of this city for the man who arrives there on a September evening, when the days are growing shorter and the multicoloured lamps are lighted all at once at the doors of the food stalls and from a terrace a woman’s voice cries ooh!, is that he feels envy towards those who now believe they have once before lived an evening identical to this and who think they were happy, that time.

[CITY_GROUP:",leaving there and proceeding for three days towards the east you reach diomira a city with sixty silver domes bronze statues of all the gods streets paved with lead a crystal theatre a golden cock that crows each morning on a tower all these beauties will already be familiar to the visitor who has seen them also in other cities but the special quality of this city for the man who arrives there on a september evening when the days are growing shorter and the multicoloured lamps are lighted all at once at the doors of the food stalls and from a terrace a womans voice cries ooh is that he feels envy towards those who now believe they have once before lived an evening identical to this and who think they were happy that time citygroup,"['the', 'a', 'and', 'who', 'of', 'all', 'that', 'there', 'for', 'days']",surreal_city
2,Cities & Memory 2,"]

When a man rides a long time through wild regions he feels the desire for a city. Finally he comes to Isidora, a city where the buildings have spiral staircases encrusted with spiral seashells, where perfect telescopes and violins are made, where the foreigner hesitating between two women always encounters a third, where cockfights degenerate into bloody brawls among the betters. He was thinking of all these things when he desired a city. Isidora, therefore, is the city of his dreams: with one difference. The dreamed-of city contained him as a young man; he arrives at Isidora in his old age. In the square there is the wall where the old men sit and watch the young go by; he is seated in a row with them. Desires are already memories.

[CITY_GROUP:",when a man rides a long time through wild regions he feels the desire for a city finally he comes to isidora a city where the buildings have spiral staircases encrusted with spiral seashells where perfect telescopes and violins are made where the foreigner hesitating between two women always encounters a third where cockfights degenerate into bloody brawls among the betters he was thinking of all these things when he desired a city isidora therefore is the city of his dreams with one difference the dreamedof city contained him as a young man he arrives at isidora in his old age in the square there is the wall where the old men sit and watch the young go by he is seated in a row with them desires are already memories citygroup,"['the', 'a', 'he', 'city', 'where', 'isidora', 'with', 'is', 'in', 'when']",surreal_city
3,Cities & Desire 1,"]

There are two ways of describing the city of Dorothea: you can say that four aluminium towers rise from its walls flanking seven gates with spring-operated drawbridges that span the moat whose water feeds four green canals which cross the city, dividing it into nine quarters, each with three hundred houses and seven hundred chimneys. And bearing in mind that the nubile girls of each quarter marry youths of other quarters and their parents exchange the goods that each family holds in monopoly—bergamot, sturgeon roe, astrolabes, amethysts—you can then work from these facts until you learn everything you wish about the city in the past, present, and future. Or else you can say, like the camel-driver who took me there: ‘I arrived here in my first youth, one morning, many people were hurrying along the streets towards the market, the women had fine teeth and looked you straight in the eye, three soldiers on a platform played the trumpet, and all around wheels turned and coloured banners fluttered in the wind. Before then I had known only the desert and the caravan routes. In the years that followed, my eyes returned to contemplate the desert expanses and the caravan routes; but now I know this path is only one of the many that opened before me on that morning in Dorothea.’

[CITY_GROUP:",there are two ways of describing the city of dorothea you can say that four aluminium towers rise from its walls flanking seven gates with springoperated drawbridges that span the moat whose water feeds four green canals which cross the city dividing it into nine quarters each with three hundred houses and seven hundred chimneys and bearing in mind that the nubile girls of each quarter marry youths of other quarters and their parents exchange the goods that each family holds in monopolybergamot sturgeon roe astrolabes amethystsyou can then work from these facts until you learn everything you wish about the city in the past present and future or else you can say like the cameldriver who took me there i arrived here in my first youth one morning many people were hurrying along the streets towards the market the women had fine teeth and looked you straight in the eye three soldiers on a platform played the trumpet and all around wheels turned and coloured banners fluttered in the wind before then i had known only the desert and the caravan routes in the years that followed my eyes returned to contemplate the desert expanses and the caravan routes but now i know this path is only one of the many that opened before me on that morning in dorothea citygroup,"['the', 'and', 'in', 'that', 'of', 'you', 'city', 'can', 'each', 'i']",surreal_city
4,Cities & Memory 3,"]

In vain, great-hearted Kublai, shall I attempt to describe Zaira, city of high bastions. I could tell you how many steps make up the streets rising like stairways, and the degree of the arcades’ curves, and what kind of zinc scales cover the roofs; but I already know this would be the same as telling you nothing. The city does not consist of this, but of relationships between the measurements of its space and the events of its past: the height of a lamppost and the distance from the ground of a hanged usurper’s swaying feet; the line strung from the lamppost to the railing opposite and the festoons that decorate the course of the queen’s nuptial procession; the height of that railing and the leap of the adulterer who climbed over it at dawn; the tilt of a guttering and a cat’s progress along it as he slips into the same window; the firing range of a gunboat which has suddenly appeared beyond the cape and the bomb that destroys the guttering; the rips in the fish net and the three old men seated on the dock mending nets and telling each other for the hundredth time the story of the gunboat of the usurper, who some say was the queen’s illegitimate son, abandoned in his swaddling clothes there on the dock.

As this wave from memories flows in, the city soaks up like a sponge and expands. A description of Zaira as it is today should contain all Zaira’s past. The city, however, does not tell its past, but contains it like the lines of a hand, written in the corners of the streets, the gratings of the windows, the banisters of the steps, the antennae of the lightning rods, the poles of the flags, every segment marked in turn with scratches, indentations, scrolls.

[CITY_GROUP:",in vain greathearted kublai shall i attempt to describe zaira city of high bastions i could tell you how many steps make up the streets rising like stairways and the degree of the arcades curves and what kind of zinc scales cover the roofs but i already know this would be the same as telling you nothing the city does not consist of this but of relationships between the measurements of its space and the events of its past the height of a lamppost and the distance from the ground of a hanged usurpers swaying feet the line strung from the lamppost to the railing opposite and the festoons that decorate the course of the queens nuptial procession the height of that railing and the leap of the adulterer who climbed over it at dawn the tilt of a guttering and a cats progress along it as he slips into the same window the firing range of a gunboat which has suddenly appeared beyond the cape and the bomb that destroys the guttering the rips in the fish net and the three old men seated on the dock mending nets and telling each other for the hundredth time the story of the gunboat of the usurper who some say was the queens illegitimate son abandoned in his swaddling clothes there on the dock as this wave from memories flows in the city soaks up like a sponge and expands a description of zaira as it is today should contain all zairas past the city however does not tell its past but contains it like the lines of a hand written in the corners of the streets the gratings of the windows the banisters of the steps the antennae of the lightning rods the poles of the flags every segment marked in turn with scratches indentations scrolls citygroup,"['the', 'of', 'and', 'a', 'in', 'city', 'as', 'it', 'i', 'like']",surreal_city
5,Cities & Desire 2,"]

At the end of three days, moving southward, you come upon Anastasia, a city with concentric canals watering it and kites flying over it. I should now list the wares that can profitably be bought here : agate, onyx, chrysoprase, and other varieties of chalcedony: I should praise the flesh of the golden pheasant cooked here over fires of seasoned cherry wood and sprinkled with much sweet marjoram; and tell of the women I have seen bathing in the pool of a garden and who sometimes—it is said—invite the stranger to disrobe with them and chase them in the water. But with all this, I would not be telling you the city’s true essence; for while the description of Anastasia awakens desires one at a time only to force you to stifle them, when you are in the heart of Anastasia one morning your desires waken all at once and surround you. The city appears to you as a whole where no desire is lost and of which you are a part, and since it enjoys everything you do not enjoy, you can do nothing but inhabit this desire and be content. Such is the power, sometimes called malignant, sometimes benign, that Anastasia, the treacherous city, possesses; if for eight hours a day you work as a cutter of agate, onyx, chrysoprase, your labour which gives form to desire takes from desire its form, and you believe you are enjoying Anastasia wholly when you are only its slave.

[CITY_GROUP:",at the end of three days moving southward you come upon anastasia a city with concentric canals watering it and kites flying over it i should now list the wares that can profitably be bought here  agate onyx chrysoprase and other varieties of chalcedony i should praise the flesh of the golden pheasant cooked here over fires of seasoned cherry wood and sprinkled with much sweet marjoram and tell of the women i have seen bathing in the pool of a garden and who sometimesit is saidinvite the stranger to disrobe with them and chase them in the water but with all this i would not be telling you the citys true essence for while the description of anastasia awakens desires one at a time only to force you to stifle them when you are in the heart of anastasia one morning your desires waken all at once and surround you the city appears to you as a whole where no desire is lost and of which you are a part and since it enjoys everything you do not enjoy you can do nothing but inhabit this desire and be content such is the power sometimes called malignant sometimes benign that anastasia the treacherous city possesses if for eight hours a day you work as a cutter of agate onyx chrysoprase your labour which gives form to desire takes from desire its form and you believe you are enjoying anastasia wholly when you are only its slave citygroup,"['the', 'you', 'and', 'of', 'a', 'anastasia', 'to', 'with', 'i', 'are']",surreal_city
6,Cities & Signs 1,"]

You walk for days among trees and among stones. Rarely does the eye light on a thing, and then only when it has recognized that thing as the sign of another thing: a print in the sand indicates the tiger’s passage; a marsh announces a vein of water; the hibiscus flower, the end of winter. All the rest is silent and interchangeable; trees and stones are only what they are.

Finally the journey leads to the city of Tamara. You penetrate it along streets thick with signboards jutting from the walls. The eye does not see things but images of things that mean other things: pincers point out the tooth-drawer’s house; a tankard, the tavern; halberds, the barracks; scales, the grocer’s. Statues and shields depict lions, dolphins, towers, stars: a sign that something—who knows what?—has as its sign a lion or a dolphin or a tower or a star. Other signals warn of what is forbidden in a given place (to enter the alley with wagons, to urinate behind the kiosk, to fish with your pole from the bridge) and what is allowed (watering zebras, playing bowls, burning relatives’ corpses). From the doors of the temples the gods’ statues are seen, each portrayed with his attributes—the cornucopia, the hourglass, the medusa—so that the worshipper can recognize them and address his prayers correctly. If a building has no signboard or figure, its very form and the position it occupies in the city’s order suffice to indicate its function: the palace, the prison, the mint, the Pythagorean school, the brothel. The wares, too, which the vendors display on their stalls are valuable not in themselves but as signs of other things: the embroidered headband stands for elegance; the gilded palanquin, power; the volumes of Averroes, learning; the ankle bracelet, voluptuousness. Your gaze scans the streets as if they were written pages: the city says everything you must think, makes you repeat her discourse, and while you believe you are visiting Tamara you are only recording the names with which she defines herself and all her parts.

However the city may really be, beneath this thick coating of signs, whatever it may contain or conceal, you leave Tamara without having discovered it. Outside, the land stretches, empty, to the horizon; the sky opens, with speeding clouds. In the shape that chance and wind give the clouds, you are already intent on recognizing figures: a sailing ship, a hand, an elephant...

[CITY_GROUP:",you walk for days among trees and among stones rarely does the eye light on a thing and then only when it has recognized that thing as the sign of another thing a print in the sand indicates the tigers passage a marsh announces a vein of water the hibiscus flower the end of winter all the rest is silent and interchangeable trees and stones are only what they are finally the journey leads to the city of tamara you penetrate it along streets thick with signboards jutting from the walls the eye does not see things but images of things that mean other things pincers point out the toothdrawers house a tankard the tavern halberds the barracks scales the grocers statues and shields depict lions dolphins towers stars a sign that somethingwho knows whathas as its sign a lion or a dolphin or a tower or a star other signals warn of what is forbidden in a given place to enter the alley with wagons to urinate behind the kiosk to fish with your pole from the bridge and what is allowed watering zebras playing bowls burning relatives corpses from the doors of the temples the gods statues are seen each portrayed with his attributesthe cornucopia the hourglass the medusaso that the worshipper can recognize them and address his prayers correctly if a building has no signboard or figure its very form and the position it occupies in the citys order suffice to indicate its function the palace the prison the mint the pythagorean school the brothel the wares too which the vendors display on their stalls are valuable not in themselves but as signs of other things the embroidered headband stands for elegance the gilded palanquin power the volumes of averroes learning the ankle bracelet voluptuousness your gaze scans the streets as if they were written pages the city says everything you must think makes you repeat her discourse and while you believe you are visiting tamara you are only recording the names with which she defines herself and all her parts however the city may really be beneath this thick coating of signs whatever it may contain or conceal you leave tamara without having discovered it outside the land stretches empty to the horizon the sky opens with speeding clouds in the shape that chance and wind give the clouds you are already intent on recognizing figures a sailing ship a hand an elephant citygroup,"['the', 'a', 'and', 'of', 'you', 'are', 'to', 'with', 'it', 'that']",surreal_city
7,Cities & Memory 4,"]

Beyond six rivers and three mountain ranges rises Zora, a city that no one, having seen it, can forget. But not because, like other memorable cities, it leaves an unusual image in your recollections. Zora has the quality of remaining in your memory point by point, in its succession of streets, of houses along the streets, and of doors and windows in the houses, though nothing in them possesses a special beauty or rarity. Zora’s secret lies in the way your gaze runs over patterns following one another as in a musical score where not a note can be altered or displaced. The man who knows by heart how Zora is made, if he is unable to sleep at night, can imagine he is walking along the streets and he remembers the order by which the copper clock follows the barber’s striped awning, then the fountain with the nine jets, the astronomer’s glass tower, the melon vendor’s kiosk, the statue of the hermit and the lion, the Turkish bath, the cafe at the corner, the alley that leads to the harbour. This city which cannot be expunged from the mind is like an armature, a honeycomb in whose cells each of us can place the things he wants to remember: names of famous men, virtues, numbers, vegetable and mineral classifications, dates of battles, constellations, parts of speech. Between each idea and each point of the itinerary an affinity or a contrast can be established, serving as an immediate aid to memory. So the world’s most learned men are those who have memorized Zora.

But in vain I set out to visit the city: forced to remain motionless and always the same, in order to be more easily remembered, Zora has languished, disintegrated, disappeared. The earth has forgotten her.

[CITY_GROUP:",beyond six rivers and three mountain ranges rises zora a city that no one having seen it can forget but not because like other memorable cities it leaves an unusual image in your recollections zora has the quality of remaining in your memory point by point in its succession of streets of houses along the streets and of doors and windows in the houses though nothing in them possesses a special beauty or rarity zoras secret lies in the way your gaze runs over patterns following one another as in a musical score where not a note can be altered or displaced the man who knows by heart how zora is made if he is unable to sleep at night can imagine he is walking along the streets and he remembers the order by which the copper clock follows the barbers striped awning then the fountain with the nine jets the astronomers glass tower the melon vendors kiosk the statue of the hermit and the lion the turkish bath the cafe at the corner the alley that leads to the harbour this city which cannot be expunged from the mind is like an armature a honeycomb in whose cells each of us can place the things he wants to remember names of famous men virtues numbers vegetable and mineral classifications dates of battles constellations parts of speech between each idea and each point of the itinerary an affinity or a contrast can be established serving as an immediate aid to memory so the worlds most learned men are those who have memorized zora but in vain i set out to visit the city forced to remain motionless and always the same in order to be more easily remembered zora has languished disintegrated disappeared the earth has forgotten her citygroup,"['the', 'in', 'of', 'and', 'to', 'a', 'zora', 'can', 'an', 'be']",surreal_city
8,Cities & Desire 3,"]

Despina can be reached in two ways: by ship or by camel. The city displays one face to the traveller arriving overland and a different one to him who arrives by sea.

When the camel-driver sees, at the horizon of the tableland, the pinnacles of the skyscrapers come into view, the radar antennae, the white and red windsocks flapping, the chimneys belching smoke, he thinks of a ship; he knows it is a city, but he thinks of it as a vessel that will take him away from the desert, a windjammer about to cast off, with the breeze already swelling the sails, not yet unfurled, or a steamboat with its boiler vibrating in the iron keel; and he thinks of all the ports, the foreign merchandise the cranes unload on the docks, the taverns where crews of different flags break bottles over one another’s heads, the lighted, ground-floor windows, each with a woman combing her hair.

In the coastline’s haze, the sailor discerns the form of a camel’s withers, an embroidered saddle with glittering fringe between two spotted humps, advancing and swaying; he knows it is a city, but he thinks of it as a camel from whose pack hang wineskins and bags of candied fruit, date wine, tobacco leaves, and already he sees himself at the head of a long caravan taking him away from the desert of the sea, towards oases of fresh water in the palm trees’ jagged shade, towards palaces of thick, whitewashed walls, tiled courts where girls are dancing barefoot, moving their arms, half-hidden by their veils, and half-revealed.

Each city receives its form from the desert it opposes; and so the camel-driver and the sailor see Despina, a border city between two deserts.

[CITY_GROUP:",despina can be reached in two ways by ship or by camel the city displays one face to the traveller arriving overland and a different one to him who arrives by sea when the cameldriver sees at the horizon of the tableland the pinnacles of the skyscrapers come into view the radar antennae the white and red windsocks flapping the chimneys belching smoke he thinks of a ship he knows it is a city but he thinks of it as a vessel that will take him away from the desert a windjammer about to cast off with the breeze already swelling the sails not yet unfurled or a steamboat with its boiler vibrating in the iron keel and he thinks of all the ports the foreign merchandise the cranes unload on the docks the taverns where crews of different flags break bottles over one anothers heads the lighted groundfloor windows each with a woman combing her hair in the coastlines haze the sailor discerns the form of a camels withers an embroidered saddle with glittering fringe between two spotted humps advancing and swaying he knows it is a city but he thinks of it as a camel from whose pack hang wineskins and bags of candied fruit date wine tobacco leaves and already he sees himself at the head of a long caravan taking him away from the desert of the sea towards oases of fresh water in the palm trees jagged shade towards palaces of thick whitewashed walls tiled courts where girls are dancing barefoot moving their arms halfhidden by their veils and halfrevealed each city receives its form from the desert it opposes and so the cameldriver and the sailor see despina a border city between two deserts citygroup,"['the', 'of', 'a', 'and', 'he', 'city', 'it', 'in', 'by', 'thinks']",surreal_city
9,Cities & Signs 2,"]

Travellers return from the city of Zirma with distinct memories: a blind black man shouting in the crowd, a lunatic teetering on a skyscraper’s cornice, a girl walking with a puma on a leash. Actually many of the blind men who tap their canes on Zirma’s cobblestones are black; in every skyscraper there is someone going mad; all lunatics spend hours on cornices; there is no puma that some girl does not raise, as a whim. The city is redundant: it repeats itself so that something will stick in the mind.

I too am returning from Zirma: my memory includes dirigibles flying in all directions, at window level; streets of shops where tattoos are drawn on sailors’ skin; underground trains crammed with obese women suffering from the humidity. My travelling companions, on the other hand, swear they saw only one dirigible hovering among the city’s spires, only one tattoo artist arranging needles and inks and pierced patterns on his bench, only one fat woman fanning herself on a train’s platform. Memory is redundant: it repeats signs so that the city can begin to exist.

[CITY_GROUP: Thin",travellers return from the city of zirma with distinct memories a blind black man shouting in the crowd a lunatic teetering on a skyscrapers cornice a girl walking with a puma on a leash actually many of the blind men who tap their canes on zirmas cobblestones are black in every skyscraper there is someone going mad all lunatics spend hours on cornices there is no puma that some girl does not raise as a whim the city is redundant it repeats itself so that something will stick in the mind i too am returning from zirma my memory includes dirigibles flying in all directions at window level streets of shops where tattoos are drawn on sailors skin underground trains crammed with obese women suffering from the humidity my travelling companions on the other hand swear they saw only one dirigible hovering among the citys spires only one tattoo artist arranging needles and inks and pierced patterns on his bench only one fat woman fanning herself on a trains platform memory is redundant it repeats signs so that the city can begin to exist citygroup thin,"['the', 'a', 'on', 'in', 'is', 'from', 'city', 'of', 'with', 'that']",surreal_city
10,Cities 1,"]

Isaura, city of the thousand wells, is said to rise over a deep, subterranean lake. On all sides, wherever the inhabitants dig long vertical holes in the ground, they succeed in drawing up water, as far as the city extends, and no farther. Its green border repeats the dark outline of the buried lake; an invisible landscape conditions the visible one; everything that moves in the sunlight is driven by the lapping wave enclosed beneath the rock’s calcareous sky.

Consequently two forms of religion exist in Isaura.

The city’s gods, according to some people, live in the depths, in the black lake that feeds the underground streams. According to others, the gods live in the buckets that rise, suspended from a cable, as they appear over the edge of the wells, in the revolving pulleys, in the windlasses of the norias, in the pump handles, in the blades of the windmills that draw the water up from the drillings, in the trestles that support the twisting probes, in the reservoirs perched on stilts over the roofs, in the slender arches of the aqueducts, in all the columns of water, the vertical pipes, the plungers, the drains, all the way up to the weathercocks that surmount the airy scaffolding of Isaura, a city that moves entirely upwards.

Sent off to inspect the remote provinces, the Great Khan’s envoys and tax-collectors duly returned to Kai-ping-fu and to the gardens of magnolias in whose shade Kublai strolled, listening to their long reports. The ambassadors were Persians, Armenians, Syrians, Copts, Turkomans; the emperor is he who is a foreigner to each of his subjects, and only through foreign eyes and ears could the empire manifest its existence to Kublai. In languages incomprehensible to the Khan, the envoys related information heard in languages incomprehensible to them: from this opaque, dense stridor emerged the revenues received by the imperial treasury, the first and last names of officials dismissed and decapitated, the dimensions of the canals that the narrow rivers fed in times of drought. But when the young Venetian made his report, a different communication was established between him and the emperor. Newly arrived and totally ignorant of the Levantine languages, Marco Polo could express himself only with gestures, leaps, cries of wonder and of horror, animal barkings or hootings, or with objects he took from his knapsack—ostrich plumes, pea-shooters, quartzes—which he arranged in front of him like chessmen. Returning from the missions on which Kublai sent him, the ingenious foreigner improvised pantomimes that the sovereign had to interpret: one city was depicted by the leap of a fish escaping the cormorant’s beak to fall into a net; another city by a naked man running through fire unscorched; a third by a skull, its teeth green with mould, clenching a round, white pearl. The Great Khan deciphered the signs, but the connection between them and the places visited remained uncertain; he never knew whether Marco wished to enact an adventure that had befallen him on his journey, an exploit of the city’s founder, the prophecy of an astrologer, a rebus or a charade to indicate a name. But, obscure or obvious as it might be, everything Marco displayed had the power of emblems, which, once seen, cannot be forgotten or confused. In the Khan’s mind the empire was reflected in a desert of labile and interchangeable data, like grains of sand, from which there appeared, for each city and province, the figures evoked by the Venetian’s logogriphs.

As the seasons passed and his missions continued, Marco mastered the Tartar language and the national idioms and tribal dialects. Now his accounts were the most precise and detailed that the Great Khan could wish for and there was no question or curiosity which they did not satisfy. And yet each piece of information about a place recalled to the emperor’s mind that first gesture or object with which Marco had designated the place. The new fact received a meaning from that emblem and also added to the emblem a new meaning. Perhaps, Kublai thought, the empire is nothing but a zodiac of the mind’s phantasms.

‘On the day when I know all the emblems,’ he asked Marco, ‘shall I be able to possess my empire, at last?’

And the Venetian answered: ‘Sire, do not believe it. On that day you will be an emblem among emblems.’
_

‘The other ambassadors warn me of famines, extortions, conspiracies, or else they inform me of newly discovered turquoise mines, advantageous prices in marten furs, suggestions for supplying damascened blades. And you?’ the Great Khan asked Polo, ‘you return from lands equally distant and you can tell me only the thoughts that come to a man who sits on his doorstep at evening to enjoy the cool air. What is the use, then, of all your travelling?’

‘It is evening. We are seated on the steps of your palace. There is a slight breeze,’ Marco Polo answered. ‘Whatever country my words may evoke around you, you will see it from such a vantage point, even if instead of the palace there is a village on pilings and the breeze carries the stench of a muddy estuary.’

‘My gaze is that of a man meditating, lost in thought—I admit it. But yours? You cross archipelagos, tundras, mountain ranges. You would do as well never moving from here.’

The Venetian knew that when Kubiai became vexed with him, the emperor wanted to follow more clearly a private train of thought; so Marco’s answers and objections took their place in a discourse already proceeding on its own, in the Great Khan’s head. That is to say, between the two of them it did not matter whether questions and solutions were uttered aloud or whether each of the two went on pondering in silence. In fact, they were silent, their eyes half-closed, reclining on cushions, swaying in hammocks, smoking long amber pipes.

Marco Polo imagined answering (or Kubiai Khan imagined his answer) that the more one was lost in unfamiliar quarters of distant cities, the more one understood the other cities he had crossed to arrive there; and he retraced the stages of his journeys, and he came to know the port from which he had set sail, and the familiar places of his youth, and the surroundings of home, and a little, square of Venice where he gambolled as a child.

At this point Kublai Khan interrupted him or imagined interrupting him, or Marco Polo imagined himself interrupted, with a question such as: ‘You advance always with your head turned back?’ or ‘Is what you see always behind you?’ or rather, ‘Does your journey take place only in the past?’

All this so that Marco Polo could explain or imagine explaining or be imagined explaining or succeed finally in explaining to himself that what he sought was always something lying ahead, and even if it was a matter of the past it was a past that changed gradually as he advanced on his journey, because the traveller’s past changes according to the route he has followed: not the immediate past, that is, to which each day that goes by adds a day, but the more remote past. Arriving at each new city, the traveller finds again a past of his that he did not know he had: the foreignness of what you no longer are or no longer possess lies in wait for you in foreign, unpossessed places.

Marco enters a city; he sees someone in a square living a life or an instant that could be his; he could now be in that man’s place, if he had stopped in time, long ago; or if, long ago, at a crossroads, instead of taking one road he had taken the opposite one, and after long wandering he had come to be in the place of that man in that square. By now, from that real or hypothetical past of his, he is excluded; he cannot stop; he must go on to another city, where another of his pasts awaits him, or something perhaps that had been a possible future of his and is now someone else’s present. Futures not achieved are only branches of the past: dead branches.

‘Journeys to relive your past?’ was the Khan’s question at this point, a question which could also have been formulated: ‘Journeys to recover your future?’

And Marco’s answer was: ‘Elsewhere is a negative mirror. The traveller recognizes the little that is his, discovering the much he has not had and will never have.’
_

[CITY_GROUP:",isaura city of the thousand wells is said to rise over a deep subterranean lake on all sides wherever the inhabitants dig long vertical holes in the ground they succeed in drawing up water as far as the city extends and no farther its green border repeats the dark outline of the buried lake an invisible landscape conditions the visible one everything that moves in the sunlight is driven by the lapping wave enclosed beneath the rocks calcareous sky consequently two forms of religion exist in isaura the citys gods according to some people live in the depths in the black lake that feeds the underground streams according to others the gods live in the buckets that rise suspended from a cable as they appear over the edge of the wells in the revolving pulleys in the windlasses of the norias in the pump handles in the blades of the windmills that draw the water up from the drillings in the trestles that support the twisting probes in the reservoirs perched on stilts over the roofs in the slender arches of the aqueducts in all the columns of water the vertical pipes the plungers the drains all the way up to the weathercocks that surmount the airy scaffolding of isaura a city that moves entirely upwards sent off to inspect the remote provinces the great khans envoys and taxcollectors duly returned to kaipingfu and to the gardens of magnolias in whose shade kublai strolled listening to their long reports the ambassadors were persians armenians syrians copts turkomans the emperor is he who is a foreigner to each of his subjects and only through foreign eyes and ears could the empire manifest its existence to kublai in languages incomprehensible to the khan the envoys related information heard in languages incomprehensible to them from this opaque dense stridor emerged the revenues received by the imperial treasury the first and last names of officials dismissed and decapitated the dimensions of the canals that the narrow rivers fed in times of drought but when the young venetian made his report a different communication was established between him and the emperor newly arrived and totally ignorant of the levantine languages marco polo could express himself only with gestures leaps cries of wonder and of horror animal barkings or hootings or with objects he took from his knapsackostrich plumes peashooters quartzeswhich he arranged in front of him like chessmen returning from the missions on which kublai sent him the ingenious foreigner improvised pantomimes that the sovereign had to interpret one city was depicted by the leap of a fish escaping the cormorants beak to fall into a net another city by a naked man running through fire unscorched a third by a skull its teeth green with mould clenching a round white pearl the great khan deciphered the signs but the connection between them and the places visited remained uncertain he never knew whether marco wished to enact an adventure that had befallen him on his journey an exploit of the citys founder the prophecy of an astrologer a rebus or a charade to indicate a name but obscure or obvious as it might be everything marco displayed had the power of emblems which once seen cannot be forgotten or confused in the khans mind the empire was reflected in a desert of labile and interchangeable data like grains of sand from which there appeared for each city and province the figures evoked by the venetians logogriphs as the seasons passed and his missions continued marco mastered the tartar language and the national idioms and tribal dialects now his accounts were the most precise and detailed that the great khan could wish for and there was no question or curiosity which they did not satisfy and yet each piece of information about a place recalled to the emperors mind that first gesture or object with which marco had designated the place the new fact received a meaning from that emblem and also added to the emblem a new meaning perhaps kublai thought the empire is nothing but a zodiac of the minds phantasms on the day when i know all the emblems he asked marco shall i be able to possess my empire at last and the venetian answered sire do not believe it on that day you will be an emblem among emblems  the other ambassadors warn me of famines extortions conspiracies or else they inform me of newly discovered turquoise mines advantageous prices in marten furs suggestions for supplying damascened blades and you the great khan asked polo you return from lands equally distant and you can tell me only the thoughts that come to a man who sits on his doorstep at evening to enjoy the cool air what is the use then of all your travelling it is evening we are seated on the steps of your palace there is a slight breeze marco polo answered whatever country my words may evoke around you you will see it from such a vantage point even if instead of the palace there is a village on pilings and the breeze carries the stench of a muddy estuary my gaze is that of a man meditating lost in thoughti admit it but yours you cross archipelagos tundras mountain ranges you would do as well never moving from here the venetian knew that when kubiai became vexed with him the emperor wanted to follow more clearly a private train of thought so marcos answers and objections took their place in a discourse already proceeding on its own in the great khans head that is to say between the two of them it did not matter whether questions and solutions were uttered aloud or whether each of the two went on pondering in silence in fact they were silent their eyes halfclosed reclining on cushions swaying in hammocks smoking long amber pipes marco polo imagined answering or kubiai khan imagined his answer that the more one was lost in unfamiliar quarters of distant cities the more one understood the other cities he had crossed to arrive there and he retraced the stages of his journeys and he came to know the port from which he had set sail and the familiar places of his youth and the surroundings of home and a little square of venice where he gambolled as a child at this point kublai khan interrupted him or imagined interrupting him or marco polo imagined himself interrupted with a question such as you advance always with your head turned back or is what you see always behind you or rather does your journey take place only in the past all this so that marco polo could explain or imagine explaining or be imagined explaining or succeed finally in explaining to himself that what he sought was always something lying ahead and even if it was a matter of the past it was a past that changed gradually as he advanced on his journey because the travellers past changes according to the route he has followed not the immediate past that is to which each day that goes by adds a day but the more remote past arriving at each new city the traveller finds again a past of his that he did not know he had the foreignness of what you no longer are or no longer possess lies in wait for you in foreign unpossessed places marco enters a city he sees someone in a square living a life or an instant that could be his he could now be in that mans place if he had stopped in time long ago or if long ago at a crossroads instead of taking one road he had taken the opposite one and after long wandering he had come to be in the place of that man in that square by now from that real or hypothetical past of his he is excluded he cannot stop he must go on to another city where another of his pasts awaits him or something perhaps that had been a possible future of his and is now someone elses present futures not achieved are only branches of the past dead branches journeys to relive your past was the khans question at this point a question which could also have been formulated journeys to recover your future and marcos answer was elsewhere is a negative mirror the traveller recognizes the little that is his discovering the much he has not had and will never have  citygroup,"['the', 'of', 'a', 'in', 'and', 'to', 'that', 'he', 'or', 'is']",surreal_city
